Country,Job_Title,Max_Salary
Belgium,"Data Visualization Consultant",55551.44
Belgium,"Customer Support Engineer",55062
Belgium,"Advisor to a minister",53488.8
Belgium,"HR Data Analyst",48664.32
Belgium,"Policy officer",46147.2
Belgium,Attaché,44224.4
Belgium,"Software developer",43700
Belgium,"Senior Data Specialist",39767
Belgium,"Marketing and communications manager",38456
Belgium,"System Engineer",34960
Belgium,"Law and Policy Advisor",34960
Belgium,"Content Manager",34960
Belgium,"Content Marketing Manager",34086
Belgium,"Research Technician",33212
Belgium,"Content Marketer",29279
Belgium,"Office manager",28317.6
Belgium,"Junior Advocacy Advisor",21937.4
Belgium,"Programs coordinator",20976
Belgium,"Project Manager",20110.74
Belgium,"Customer Service/Tech Support Agent",2097.6
Bermuda,"Office Manager and Executive Assistant",132500
Bermuda,"PR Manager",85000
"Bosnia And Herzegovina","Marketing Automation Analyst",5681
Brazil,"Solutions Architect",253000
Brazil,"Senior Software Engineer",226800
Brazil,"Senior software developer",221000
Brazil,"Software Architect",182000
Brazil,"Subsea Engineer",156000
Brazil,"Software Engineer",140000
Brazil,"Staff Software Engineer",135200
Brazil,"Art Director for Games",48000
Brazil,"Freelance linguist",48000
Brazil,Manager,30238
Brazil,"Front End Engineer",102
Britain,"Class teacher",28782
Bulgaria,"SAP Consultant",48070
Bulgaria,"Linux DevOps Engineer",22287
Burma,IT,1700
California,"Plant Manager",78000
Cambodia,"Volunteer and Partnerships Program Manager",24000
Canada,"Investment Banking Analyst",8160095200
Canada,"Learning Specialist",1305600
Canada,Realtor,816000
Canada,"Software Development Manager",476000
Canada,"Team Lead",353600
Canada,"Software engineer",343200
Canada,"Occupational health and safety specialist (consultant)",340000
Canada,CEO,340000
Canada,"Manager, Developer Evangelism",340000
Canada,"Vice President, finance",333200
Canada,"Managing director",306000
Canada,professor,306000
Canada,"Senior Director, Engineering",299200
Canada,"sole proprietor",299200
Canada,"Vice President",292740
Canada,"Senior Manager, Speech recognition",292400
Canada,"Staff Technical Writer",288320
Canada,"Director Design",285600
Canada,"Account Executive",285600
Canada,"Product Manager, Director",272000
Canada,"Staff Software Engineer",272000
Canada,"PMTS Infrastructure Engineer",266560
Canada,Director,265000
Canada,Associate,258400
Canada,"Solutions Architect",258400
Canada,"Associate Consultant",258400
Canada,Consultant,251600
Canada,"Senior Legal Counsel",251600
Canada,"Vice President, Analytics",250240
Canada,"Senior Engineering Manager",244800
Canada,"Senior Software Development Manager",244800
Canada,"Executive Search Consultant",238000
Canada,Lawyer,238000
Canada,"Head of Engineering",238000
Canada,"Associate Director, Science & Medicine",236640
Canada,"Enterprise Architect",231200
Canada,"President & Co-Founder",231200
Canada,"HR Director",231200
Canada,"Staff Product Designer",231200
